Name of School,Latitude,Longitude,Location,Data
Providence Englewood Charter - Bunche,41.77534915,-87.66395861,"(-87.66395861, 41.77534915)",2
Betty Shabazz Intl Charter,41.75245012,-87.60021772,"(-87.60021772, 41.75245012)",2
Betty Shabazz Intl Charter - Barbara A Sizemore,41.76739834,-87.66767589,"(-87.66767589, 41.76739834)",2
University of Chicago Charter - Donoghue,41.82770517,-87.60847172,"(-87.60847172, 41.82770517)",2
University of Chicago Charter - NKO,41.81133445,-87.5985003,"(-87.5985003, 41.81133445)",2
University of Chicago Charter - Carter G Woodson,41.81363262,-87.60843635,"(-87.60843635, 41.81363262)",2
UNO Charter School - SPC Daniel Zizumbo Campus,41.80789494,-87.73036028,"(-87.73036028, 41.80789494)",2
UNO Charter School - PFC Omar E.Torres Campus,41.80789494,-87.73036028,"(-87.73036028, 41.80789494)",2
UNO Charter - Bartolome de Las Casas,41.85947665,-87.66794196,"(-87.66794196, 41.85947665)",2
UNO Charter - Carlos Fuentes,41.9374484,-87.69956817,"(-87.69956817, 41.9374484)",2
UNO Charter - Octavio Paz Campus,41.85000849,-87.69251467,"(-87.69251467, 41.85000849)",2
UNO Charter - Rufino Tamayo,41.79993702,-87.69382513,"(-87.69382513, 41.79993702)",2
UNO Charter School - Officer Donald J. Marquez,41.80833634,-87.69738923,"(-87.69738923, 41.80833634)",2
Chicago Intl Charter - Lloyd Bond,41.6536366,-87.60507067,"(-87.60507067, 41.6536366)",2
Rowe Elementary School,41.90780404,-87.66410941,"(-87.66410941, 41.90780404)",2
UNO Charter - Sandra Cisneros,41.82291183,-87.69397186,"(-87.69397186, 41.82291183)",2
LEARN  Charter School-South Chicago Campus,41.73331035,-87.54451462,"(-87.54451462, 41.73331035)",2
LEARN Charter School - Hunter Perkins,41.7431489,-87.66574597,"(-87.66574597, 41.7431489)",2
UNO 51st and Homan Charter Elementary School,41.80106791,-87.70883469,"(-87.70883469, 41.80106791)",2
UNO Charter Elementary School St Marks,41.90037072,-87.68992811,"(-87.68992811, 41.90037072)",2
Catalyst-Maria Charter School,41.77098817,-87.69303861,"(-87.69303861, 41.77098817)",2
The Montessori School of Englewood Charter,41.77418952,-87.67513395,"(-87.67513395, 41.77418952)",2
UNO Charter - Near West Elementary,41.91793654,-87.78786686,"(-87.78786686, 41.91793654)",2
UNO Charter - Rogers Park ES,42.01646447,-87.68444132,"(-87.68444132, 42.01646447)",2
KIPP Charter Create,41.89214726,-87.74720007,"(-87.74720007, 41.89214726)",2
Learn Charter 7 ES,41.88746153,-87.7021614,"(-87.7021614, 41.88746153)",2
UNO Charter 15 ES,41.81309752,-87.69327474,"(-87.69327474, 41.81309752)",2
Chicago Charter Collegiate HS,41.67932393,-87.61800463,"(-87.61800463, 41.67932393)",2
KIPP Charter Bloom,41.79355292,-87.64134488,"(-87.64134488, 41.79355292)",2
LEARN Charter - Middle School Campus,41.88746153,-87.7021614,"(-87.7021614, 41.88746153)",2
Jane Addams Elementary School,41.69871497,-87.53301251,"(-87.53301251, 41.69871497)",2
Louis A Agassiz Elementary School,41.93412004,-87.65619167,"(-87.65619167, 41.93412004)",2
Louisa May Alcott Elementary School,41.92984626,-87.64633949,"(-87.64633949, 41.92984626)",2
Phillip D Armour Elementary School,41.8338821,-87.65061898,"(-87.65061898, 41.8338821)",2
George Armstrong International Studies ES,42.01017628,-87.68446868,"(-87.68446868, 42.01017628)",2
Ames Middle School,41.91605519,-87.72177945,"(-87.72177945, 41.91605519)",2
Crispus Attucks Elementary School,41.80214349,-87.6257474,"(-87.6257474, 41.80214349)",2
John J Audubon Elementary School,41.94509808,-87.68107885,"(-87.68107885, 41.94509808)",2
Avalon Park Elementary School,41.74826636,-87.59161761,"(-87.59161761, 41.74826636)",2
Alice L Barnard Computer Math & Science Ctr ES,41.70514024,-87.65811642,"(-87.65811642, 41.70514024)",2
John Barry Elementary School,41.93251118,-87.73942514,"(-87.73942514, 41.93251118)",2
Clara Barton Elementary School,41.75421962,-87.67096453,"(-87.67096453, 41.75421962)",2
Perkins Bass Elementary School,41.77427377,-87.65354234,"(-87.65354234, 41.77427377)",2
Newton Bateman Elementary School,41.95823045,-87.70218806,"(-87.70218806, 41.95823045)",2
Nicholson Technology Academy,41.7849277,-87.64748868,"(-87.64748868, 41.7849277)",2
Thomas A Edison Regional Gifted Center ES,41.9711433,-87.70962725,"(-87.70962725, 41.9711433)",2
George Rogers Clark Elementary School,41.8678323,-87.77038158,"(-87.77038158, 41.8678323)",2
Jean Baptiste Beaubien Elementary School,41.97237914,-87.75752776,"(-87.75752776, 41.97237914)",2
Jacob Beidler Elementary School,41.88529401,-87.70581859,"(-87.70581859, 41.88529401)",2
Hiram H Belding Elementary School,41.95890499,-87.73398223,"(-87.73398223, 41.95890499)",2
Alexander Graham Bell Elementary School,41.94952795,-87.68605496,"(-87.68605496, 41.94952795)",2
Frank I Bennett Elementary School,41.71041656,-87.61735342,"(-87.61735342, 41.71041656)",2
James G Blaine Elementary School,41.95080812,-87.66495825,"(-87.66495825, 41.95080812)",2
Daniel Boone Elementary School,42.00343519,-87.69750011,"(-87.69750011, 42.00343519)",2
Scott Joplin Elementary School,41.74934082,-87.66932903,"(-87.66932903, 41.74934082)",2
Myra Bradwell Communications Arts & Sciences ES,41.7543734,-87.55717881,"(-87.55717881, 41.7543734)",2
Lionel Hampton Fine & Performing Arts ES,41.75348432,-87.70875287,"(-87.70875287, 41.75348432)",2
Alex Haley Elementary Academy,41.68663682,-87.63359476,"(-87.63359476, 41.68663682)",2
Lorenz Brentano Math & Science Academy ES,41.93097047,-87.69625758,"(-87.69625758, 41.93097047)",2
Norman A Bridge Elementary School,41.94915063,-87.79870722,"(-87.79870722, 41.94915063)",2
Orville T Bright Elementary School,41.69973969,-87.56212104,"(-87.56212104, 41.69973969)",2
William H Brown Elementary School,41.88298698,-87.67071879,"(-87.67071879, 41.88298698)",2
Charles S Brownell Elementary School,41.77163474,-87.62170972,"(-87.62170972, 41.77163474)",2
Edward A Bouchet Math & Science Academy ES,41.76086093,-87.57603849,"(-87.57603849, 41.76086093)",2
Lyman A Budlong Elementary School,41.97572652,-87.69660443,"(-87.69660443, 41.97572652)",2
Luther Burbank Elementary School,41.91759334,-87.78266267,"(-87.78266267, 41.91759334)",2
Edmond Burke Elementary School,41.79679285,-87.61617809,"(-87.61617809, 41.79679285)",2
Augustus H Burley Elementary School,41.93796493,-87.66985204,"(-87.66985204, 41.93796493)",2
Burnham Elementary Inclusive Academy,41.71440176,-87.56716721,"(-87.56716721, 41.71440176)",2
Rosario Castellanos Elementary School,41.84544296,-87.71496352,"(-87.71496352, 41.84544296)",2
Burnside Elementary Scholastic Academy,41.72850759,-87.60747108,"(-87.60747108, 41.72850759)",2
Jonathan Burr Elementary School,41.91233061,-87.66864691,"(-87.66864691, 41.91233061)",2
John C Burroughs Elementary School,41.8288631,-87.69249318,"(-87.69249318, 41.8288631)",2
Milton Brunson Math & Science Specialty ES,41.89767761,-87.76564297,"(-87.76564297, 41.89767761)",2
Michael M Byrne Elementary School,41.79503029,-87.79150778,"(-87.79150778, 41.79503029)",2
Charles P Caldwell Academy of Math & Science ES,41.73922735,-87.58076569,"(-87.58076569, 41.73922735)",2
Little Village Elementary School,41.84368588,-87.71735516,"(-87.71735516, 41.84368588)",2
Daniel R Cameron Elementary School,41.90378521,-87.71796315,"(-87.71796315, 41.90378521)",2
Arthur E Canty Elementary School,41.94799245,-87.8293319,"(-87.8293319, 41.94799245)",2
Andrew Carnegie Elementary School,41.78339577,-87.59079649,"(-87.59079649, 41.78339577)",2
Carroll-Rosenwald Specialty Elementary School,41.74248931,-87.696003,"(-87.696003, 41.74248931)",2
Rachel Carson Elementary School,41.79325514,-87.68783576,"(-87.68783576, 41.79325514)",2
William W Carter Elementary School,41.78984129,-87.62248974,"(-87.62248974, 41.78984129)",2
George Washington Carver Primary School,41.65367428,-87.59952683,"(-87.59952683, 41.65367428)",2
Ira F Aldridge Elementary School,41.65743243,-87.60649623,"(-87.60649623, 41.65743243)",2
George F Cassell Elementary School,41.68733881,-87.70325179,"(-87.70325179, 41.68733881)",2
Horace Greeley Elementary School,41.95283701,-87.65097549,"(-87.65097549, 41.95283701)",2
Thomas Chalmers Specialty Elementary School,41.8664078,-87.69526079,"(-87.69526079, 41.8664078)",2
Eliza Chappell Elementary School,41.975867,-87.68325438,"(-87.68325438, 41.975867)",2
Salmon P Chase Elementary School,41.91801539,-87.69454144,"(-87.69454144, 41.91801539)",2
Frederic Chopin Elementary School,41.89674048,-87.68890154,"(-87.68890154, 41.89674048)",2
Walter S Christopher Elementary School,41.8016744,-87.68564411,"(-87.68564411, 41.8016744)",2
Henry Clay Elementary School,41.65455937,-87.544577,"(-87.544577, 41.65455937)",2
Grover Cleveland Elementary School,41.9520147,-87.70642927,"(-87.70642927, 41.9520147)",2
DeWitt Clinton Elementary School,41.99256421,-87.69839748,"(-87.69839748, 41.99256421)",2
Henry R Clissold Elementary School,41.69305404,-87.6808619,"(-87.6808619, 41.69305404)",2
Edward Coles Elementary Language Academy,41.74142687,-87.56593332,"(-87.56593332, 41.74142687)",2
Christopher Columbus Elementary School,41.89958139,-87.68190167,"(-87.68190167, 41.89958139)",2
John W Cook Elementary School,41.74526284,-87.6598119,"(-87.6598119, 41.74526284)",2
Jordan Elementary Community School,42.01709536,-87.67779928,"(-87.67779928, 42.01709536)",2
John C Coonley Elementary School,41.95554905,-87.68380195,"(-87.68380195, 41.95554905)",2
Peter Cooper Elementary Dual Language Academy,41.85605839,-87.66724753,"(-87.66724753, 41.85605839)",2
Anna R. Langford Community Academy,41.78465652,-87.6572053,"(-87.6572053, 41.78465652)",2
Daniel J Corkery Elementary School,41.84559878,-87.73122946,"(-87.73122946, 41.84559878)",2
Barbara Vick Early Childhood & Family Center,41.68821843,-87.6856634,"(-87.6856634, 41.68821843)",2
Manuel Perez Elementary School,41.85600113,-87.6579887,"(-87.6579887, 41.85600113)",2
Crown Community Academy of Fine Arts Center ES,41.85266155,-87.7125068,"(-87.7125068, 41.85266155)",2
Everett McKinley Dirksen Elementary School,41.97368728,-87.84105162,"(-87.84105162, 41.97368728)",2
Charles R Darwin Elementary School,41.92334998,-87.70543099,"(-87.70543099, 41.92334998)",2
Nathan S Davis Elementary School,41.8218786,-87.70022859,"(-87.70022859, 41.8218786)",2
Charles Gates Dawes Elementary School,41.74510467,-87.71738613,"(-87.71738613, 41.74510467)",2
Stephen Decatur Classical Elementary School,42.00930696,-87.70465502,"(-87.70465502, 42.00930696)",2
Charles S Deneen Elementary School,41.76250359,-87.62338156,"(-87.62338156, 41.76250359)",2
William E Dever Elementary School,41.94254335,-87.813168,"(-87.813168, 41.94254335)",2
Dewey Elementary Academy of Fine Arts,41.7956493,-87.642615,"(-87.642615, 41.7956493)",2
Arthur Dixon Elementary School,41.74365776,-87.61001515,"(-87.61001515, 41.74365776)",2
Mary Mapes Dodge Elementary Renaissance Academy,41.88928666,-87.7049885,"(-87.7049885, 41.88928666)",2
James R Doolittle Jr Elementary School,41.8310921,-87.61291629,"(-87.61291629, 41.8310921)",2
John C Dore Elementary School,41.78092716,-87.78764009,"(-87.78764009, 41.78092716)",2
John B Drake Elementary School,41.84403809,-87.62859008,"(-87.62859008, 41.84403809)",2
Turner-Drew Elementary Language Academy,41.72560849,-87.6302048,"(-87.6302048, 41.72560849)",2
Thomas Drummond Elementary School,41.91588634,-87.67449563,"(-87.67449563, 41.91588634)",2
Charles W Earle Elementary School,41.78125258,-87.67555599,"(-87.67555599, 41.78125258)",2
John F Eberhart Elementary School,41.7744471,-87.70800189,"(-87.70800189, 41.7744471)",2
Christian Ebinger Elementary School,42.00443557,-87.81116435,"(-87.81116435, 42.00443557)",2
George W Curtis Elementary School,41.68544575,-87.62166148,"(-87.62166148, 41.68544575)",2
Edgebrook Elementary School,41.99946016,-87.7618211,"(-87.7618211, 41.99946016)",2
Ralph H Metcalfe Elementary Community Academy,41.6694559,-87.63426928,"(-87.63426928, 41.6694559)",2
Richard Edwards Elementary School,41.80552325,-87.72581893,"(-87.72581893, 41.80552325)",2
Edward K Ellington Elementary School,41.885506,-87.76655157,"(-87.76655157, 41.885506)",2
Leif Ericson Elementary Scholastic Academy,41.87576191,-87.71584573,"(-87.71584573, 41.87576191)",2
Esmond Elementary School,41.68939069,-87.66916143,"(-87.66916143, 41.68939069)",2
Edward Everett Elementary School,41.83154196,-87.68127322,"(-87.68127322, 41.83154196)",2
Laughlin Falconer Elementary School,41.93577597,-87.74936705,"(-87.74936705, 41.93577597)",2
James B Farnsworth Elementary School,41.9798092,-87.76610809,"(-87.76610809, 41.9798092)",2
Fernwood Elementary School,41.71119799,-87.6403774,"(-87.6403774, 41.71119799)",2
Eugene Field Elementary School,42.00966462,-87.66994862,"(-87.66994862, 42.00966462)",2
John Fiske Elementary School,41.78517099,-87.60866927,"(-87.60866927, 41.78517099)",2
Gerald Delgado Kanoon Elementary Magnet School,41.85077575,-87.70507547,"(-87.70507547, 41.85077575)",2
Telpochcalli Elementary School,41.84797834,-87.6966316,"(-87.6966316, 41.84797834)",2
Belmont-Cragin Elementary School,41.92053845,-87.75820003,"(-87.75820003, 41.92053845)",2
Fort Dearborn Elementary School,41.72966698,-87.65544435,"(-87.65544435, 41.72966698)",2
Joseph Kellman Corporate Community ES,41.87119309,-87.70078311,"(-87.70078311, 41.87119309)",2
Franklin Elementary Fine Arts Center,41.90657253,-87.6355136,"(-87.6355136, 41.90657253)",2
Foster Park Elementary School,41.7384262,-87.66813597,"(-87.66813597, 41.7384262)",2
Melville W Fuller Elementary School,41.8180061,-87.61182077,"(-87.61182077, 41.8180061)",2
Robert Fulton Elementary School,41.79754288,-87.66847093,"(-87.66847093, 41.79754288)",2
Frederick Funston Elementary School,41.91762127,-87.71692852,"(-87.71692852, 41.91762127)",2
Stephen F Gale Elementary Community Academy,42.02106425,-87.67196481,"(-87.67196481, 42.02106425)",2
Matthew Gallistel Elementary Language Academy,41.70682232,-87.53513861,"(-87.53513861, 41.70682232)",2
John W Garvy Elementary School,41.97635262,-87.79619832,"(-87.79619832, 41.97635262)",2
Joseph E Gary Elementary School,41.83709246,-87.71870452,"(-87.71870452, 41.83709246)",2
Frank L Gillespie Elementary School,41.72529635,-87.62368165,"(-87.62368165, 41.72529635)",2
Asa Philip Randolph Elementary School,41.76059741,-87.67600175,"(-87.67600175, 41.76059741)",2
Johann W von Goethe Elementary School,41.9228282,-87.69293637,"(-87.69293637, 41.9228282)",2
Samuel Gompers Fine Arts Options ES,41.67058298,-87.62258098,"(-87.62258098, 41.67058298)",2
Virgil Grissom Elementary School,41.66245712,-87.55334334,"(-87.55334334, 41.66245712)",2
William C Goudy Elementary School,41.97581137,-87.65794915,"(-87.65794915, 41.97581137)",2
Alexander Graham Elementary School,41.81329195,-87.64338051,"(-87.64338051, 41.81329195)",2
William P Gray Elementary School,41.94878107,-87.75715297,"(-87.75715297, 41.94878107)",2
Josefa Ortiz De Dominguez Elementary School,41.83875333,-87.71722614,"(-87.71722614, 41.83875333)",2
Ariel Elementary Community Academy,41.81133445,-87.5985003,"(-87.5985003, 41.81133445)",2
Nathanael Greene Elementary School,41.82966356,-87.67145551,"(-87.67145551, 41.82966356)",2
John Milton Gregory Elementary School,41.87071468,-87.71867323,"(-87.71867323, 41.87071468)",2
Walter Q Gresham Elementary School,41.73891334,-87.64506169,"(-87.64506169, 41.73891334)",2
Robert L Grimes Elementary School,41.77549238,-87.75876919,"(-87.75876919, 41.77549238)",2
Frank W Gunsaulus Elementary Scholastic Academy,41.81299531,-87.69940042,"(-87.69940042, 41.81299531)",2
John Charles Haines Elementary School,41.84993116,-87.63378596,"(-87.63378596, 41.84993116)",2
Nathan Hale Elementary School,41.78020486,-87.77661589,"(-87.77661589, 41.78020486)",2
Ninos Heroes Elementary Academic Center,41.74374969,-87.55189813,"(-87.55189813, 41.74374969)",2
Alexander Hamilton Elementary School,41.94524725,-87.67085683,"(-87.67085683, 41.94524725)",2
John H Hamline Elementary School,41.80726347,-87.66113856,"(-87.66113856, 41.80726347)",2
Charles G Hammond Elementary School,41.85269133,-87.69627777,"(-87.69627777, 41.85269133)",2
William F Finkl Elementary School,41.84919885,-87.68570412,"(-87.68570412, 41.84919885)",2
Sharon Christa McAuliffe Elementary School,41.91480732,-87.72389409,"(-87.72389409, 41.91480732)",2
Bret Harte Elementary School,41.7934746,-87.58686328,"(-87.58686328, 41.7934746)",2
John Harvard Elementary School of Excellence,41.75733472,-87.63270008,"(-87.63270008, 41.75733472)",2
Helge A Haugan Elementary School,41.96403525,-87.72316496,"(-87.72316496, 41.96403525)",2
Emiliano Zapata Elementary Academy,41.84139181,-87.73434997,"(-87.73434997, 41.84139181)",2
Hawthorne Elementary Scholastic Academy,41.94228994,-87.65767253,"(-87.65767253, 41.94228994)",2
John Hay Elementary Community Academy,41.89918473,-87.75585034,"(-87.75585034, 41.89918473)",2
Stephen K Hayt Elementary School,41.99456814,-87.6685227,"(-87.6685227, 41.99456814)",2
Woodlawn Community Elementary School,41.77339962,-87.59435584,"(-87.59435584, 41.77339962)",2
Wendell Smith Elementary School,41.70758462,-87.60468711,"(-87.60468711, 41.70758462)",2
Robert Healy Elementary School,41.83957045,-87.64037683,"(-87.64037683, 41.83957045)",2
Phobe Apperson Hearst Elementary School,41.80818821,-87.74576315,"(-87.74576315, 41.80818821)",2
James Hedges Elementary School,41.80713406,-87.67329121,"(-87.67329121, 41.80713406)",2
Helen M Hefferan Elementary School,41.87863685,-87.73583687,"(-87.73583687, 41.87863685)",2
Charles R Henderson Elementary School,41.79061716,-87.67192466,"(-87.67192466, 41.79061716)",2
Thomas A Hendricks Elementary Community Academy,41.81579314,-87.63370133,"(-87.63370133, 41.81579314)",2
Patrick Henry Elementary School,41.95896179,-87.71566829,"(-87.71566829, 41.95896179)",2
South Loop Elementary School,41.86685634,-87.62865124,"(-87.62865124, 41.86685634)",2
Theodore Herzl Elementary School,41.86225473,-87.71825927,"(-87.71825927, 41.86225473)",2
Agustin Lara Elementary Academy,41.8097569,-87.6721446,"(-87.6721446, 41.8097569)",2
William G Hibbard Elementary School,41.97036267,-87.71036214,"(-87.71036214, 41.97036267)",2
Rufus M Hitch Elementary School,41.98367756,-87.77908614,"(-87.77908614, 41.98367756)",2
Charles N Holden Elementary School,41.83805473,-87.65380002,"(-87.65380002, 41.83805473)",2
Oliver Wendell Holmes Elementary School,41.79376044,-87.64977785,"(-87.64977785, 41.79376044)",2
Julia Ward Howe Elementary School of Excellence,41.89362521,-87.75943557,"(-87.75943557, 41.89362521)",2
Thomas Hoyne Elementary School,41.73330693,-87.5681905,"(-87.5681905, 41.73330693)",2
Paul Cuffe Math-Science Technology Academy ES,41.74244489,-87.65366994,"(-87.65366994, 41.74244489)",2
Countee Cullen Elementary School,41.70036107,-87.61128176,"(-87.61128176, 41.70036107)",2
Charles Evans Hughes Elementary School,41.86049033,-87.73177486,"(-87.73177486, 41.86049033)",2
Edward N Hurley Elementary School,41.7667583,-87.71950804,"(-87.71950804, 41.7667583)",2
Galileo Math & Science Scholastic Academy ES,41.87124634,-87.65340205,"(-87.65340205, 41.87124634)",2
Friedrich Ludwig Jahn Elementary School,41.93924404,-87.67577282,"(-87.67577282, 41.93924404)",2
Minnie Mars Jamieson Elementary School,41.98461372,-87.70056525,"(-87.70056525, 41.98461372)",2
Edward Jenner Elementary Academy of the Arts,41.90205805,-87.64101894,"(-87.64101894, 41.90205805)",2
Pilsen Elementary Community Academy,41.85887606,-87.6622254,"(-87.6622254, 41.85887606)",2
Joseph Jungman Elementary School,41.85810053,-87.65233933,"(-87.65233933, 41.85810053)",2
Kate S Kellogg Elementary School,41.72525315,-87.67719555,"(-87.67719555, 41.72525315)",2
Maria Saucedo Elementary Scholastic Academy,41.84796859,-87.69728712,"(-87.69728712, 41.84796859)",2
Miriam G Canter Middle School,41.80434474,-87.59039494,"(-87.59039494, 41.80434474)",2
Joshua D Kershaw Elementary School,41.77647883,-87.64092929,"(-87.64092929, 41.77647883)",2
Pablo Casals Elementary School,41.90447488,-87.71427105,"(-87.71427105, 41.90447488)",2
Joyce Kilmer Elementary School,42.00367622,-87.66826026,"(-87.66826026, 42.00367622)",2
Lazaro Cardenas Elementary School,41.8485071,-87.71598119,"(-87.71598119, 41.8485071)",2
John H Kinzie Elementary School,41.78970398,-87.7791043,"(-87.7791043, 41.78970398)",2
Rudyard Kipling Elementary School,41.72365391,-87.63948475,"(-87.63948475, 41.72365391)",2
Rodolfo Lozano Bilingual & International Ctr ES,41.90891372,-87.66505758,"(-87.66505758, 41.90891372)",2
Charles Kozminski Elementary Community Academy,41.7980295,-87.60246287,"(-87.60246287, 41.7980295)",2
Wendell E Green Elementary School,41.71931953,-87.65248591,"(-87.65248591, 41.71931953)",2
LaSalle Elementary Language Academy,41.9138823,-87.63760107,"(-87.63760107, 41.9138823)",2
Lawndale Elementary Community Academy,41.86298683,-87.71300615,"(-87.71300615, 41.86298683)",2
Leslie Lewis Elementary School,41.90682528,-87.75451319,"(-87.75451319, 41.90682528)",2
Arthur A Libby Elementary School,41.79764784,-87.65996858,"(-87.65996858, 41.79764784)",2
Abraham Lincoln Elementary School,41.92449696,-87.64452163,"(-87.64452163, 41.92449696)",2
Carl von Linne Elementary School,41.94001885,-87.70259825,"(-87.70259825, 41.94001885)",2
Henry D Lloyd Elementary School,41.91883022,-87.74847861,"(-87.74847861, 41.91883022)",2
Josephine C Locke Elementary School,41.93176301,-87.79564085,"(-87.79564085, 41.93176301)",2
Joseph Lovett Elementary School,41.91269042,-87.78393402,"(-87.78393402, 41.91269042)",2
James Russell Lowell Elementary School,41.90654684,-87.71023279,"(-87.71023279, 41.90654684)",2
Mary Lyon Elementary School,41.93417898,-87.77713699,"(-87.77713699, 41.93417898)",2
James Madison Elementary School,41.75955224,-87.59067582,"(-87.59067582, 41.75955224)",2
George Manierre Elementary School,41.90825367,-87.63986347,"(-87.63986347, 41.90825367)",2
Northwest Middle School,41.92053845,-87.75820003,"(-87.75820003, 41.92053845)",2
Horace Mann Elementary School,41.74830012,-87.57485274,"(-87.57485274, 41.74830012)",2
Marquette Elementary School,41.77390682,-87.6970673,"(-87.6970673, 41.77390682)",2
John L Marsh Elementary School,41.71657908,-87.55251993,"(-87.55251993, 41.71657908)",2
Michael Faraday Elementary School,41.87974117,-87.70808199,"(-87.70808199, 41.87974117)",2
Fairfield Elementary Academy,41.78086789,-87.69207758,"(-87.69207758, 41.78086789)",2
Oscar F Mayer Elementary School,41.92317657,-87.65732331,"(-87.65732331, 41.92317657)",2
Andrew Jackson Elementary Language Academy,41.87432724,-87.66097599,"(-87.66097599, 41.87432724)",2
George B McClellan Elementary School,41.82998962,-87.64106579,"(-87.64106579, 41.82998962)",2
Cyrus H McCormick Elementary School,41.84224508,-87.706336,"(-87.706336, 41.84224508)",2
Emmett Louis Till Math and Science Academy,41.77544062,-87.60932095,"(-87.60932095, 41.77544062)",2
James E McDade Elementary Classical School,41.73451387,-87.61917677,"(-87.61917677, 41.73451387)",2
Francis M McKay Elementary School,41.76810662,-87.69174944,"(-87.69174944, 41.76810662)",2
Hanson Park Elementary School,41.92392771,-87.76152094,"(-87.76152094, 41.92392771)",2
James B McPherson Elementary School,41.96784758,-87.67632505,"(-87.67632505, 41.96784758)",2
Ellen Mitchell Elementary School,41.89205482,-87.68317867,"(-87.68317867, 41.89205482)",2
James Monroe Elementary School,41.92996135,-87.71921246,"(-87.71921246, 41.92996135)",2
Moses Montefiore Special Elementary School,41.86471954,-87.66648084,"(-87.66648084, 41.86471954)",2
Bernhard Moos Elementary School,41.9125311,-87.69690545,"(-87.69690545, 41.9125311)",2
Donald Morrill Math & Science Elementary School,41.78428993,-87.68851192,"(-87.68851192, 41.78428993)",2
Inter-American Elementary Magnet School,41.94897646,-87.65153745,"(-87.65153745, 41.94897646)",2
Mark Sheridan Elementary Math & Science Academy,41.84437293,-87.64131399,"(-87.64131399, 41.84437293)",2
Mount Greenwood Elementary School,41.69574845,-87.70577383,"(-87.70577383, 41.69574845)",2
Daniel C Beard Elementary School,41.97009738,-87.78963691,"(-87.78963691, 41.97009738)",2
Annie Keller Elementary Gifted Magnet School,41.69719792,-87.6972638,"(-87.6972638, 41.69719792)",2
Mount Vernon Elementary School,41.70196704,-87.64768959,"(-87.64768959, 41.70196704)",2
Blair Early Childhood Center,41.77652935,-87.79056836,"(-87.79056836, 41.77652935)",2
Wolfgang A Mozart Elementary School,41.92092734,-87.72192541,"(-87.72192541, 41.92092734)",2
John B Murphy Elementary School,41.95005034,-87.71682949,"(-87.71682949, 41.95005034)",2
Phillip Murray Elementary Language Academy,41.79852501,-87.59330352,"(-87.59330352, 41.79852501)",2
Ronald Brown Elementary Community Academy,41.66484509,-87.63892027,"(-87.63892027, 41.66484509)",2
Henry H Nash Elementary School,41.89214726,-87.74720007,"(-87.74720007, 41.89214726)",2
